# 1D Euler DG Solution - Physical Variables
# Time: 1.000000000000000e-02
# NX=200, Polynomial Order=2
# gamma=1.400000000000000e+00
#
# Columns:
#   1: x (cell center)
#   2: rho (density)
#   3: u (velocity)
#   4: p (pressure)
#   5: E (total energy)
#   6: e (internal energy per unit mass)
#   7: Ma (Mach number)
#
4.149999999999999e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.249999999999999e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.349999999999999e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.450000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.550000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.650000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.750000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.850000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.950000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.050000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.150000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.250000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.350000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.450000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.550000000000000e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.650000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.750000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.850000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
5.950000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
6.050000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
6.150000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
6.250000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
6.350000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
6.450000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
6.550000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
6.649999999999999e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
